c1,c2,c3,c4,c5,c6,c7,c8,location,year,c0
ºÏ¼Æ,3542633,2657732,1486683,1107039,884901,377754,447062,340000,2011,1
16Ëê¼°ÒÔÏÂ,1446,1183,664,462,263,129,133,340000,2011,2
17Ëê,5629,5246,3060,2049,383,214,162,340000,2011,3
18Ëê,16396,14914,8696,5889,1482,786,655,340000,2011,4
19Ëê,29845,26594,15562,10483,3251,1700,1415,340000,2011,5
20Ëê,49819,44103,25570,17698,5716,3008,2434,340000,2011,6
21Ëê,88603,78225,44308,32320,10378,5427,4437,340000,2011,7
22Ëê,129683,114807,64422,47953,14876,7494,6588,340000,2011,8
23Ëê,152231,134925,75891,56240,17306,8773,7595,340000,2011,9
24Ëê,170034,149996,85465,61646,20038,9695,9165,340000,2011,10
25Ëê,158617,138477,79375,56508,20140,9542,9268,340000,2011,11
26Ëê,141326,122435,70729,49299,18891,9089,8586,340000,2011,12
27Ëê,139205,119178,68700,48264,20027,9395,9398,340000,2011,13
28Ëê,134854,113321,64883,46159,21533,9865,10317,340000,2011,14
29Ëê,141182,116248,65699,47875,24934,11177,12118,340000,2011,15
30Ëê,124285,100043,56461,41362,24242,10701,12042,340000,2011,16
31Ëê,119210,94140,52885,39253,25070,10822,12774,340000,2011,17
32Ëê,132555,101938,56458,43200,30617,12756,15926,340000,2011,18
33Ëê,132073,99426,54616,42505,32647,13510,17063,340000,2011,19
34Ëê,113830,84215,45849,36392,29615,12161,15479,340000,2011,20
35Ëê,117376,85134,46272,36974,32242,12974,17131,340000,2011,21
36Ëê,108157,76887,40820,34287,31270,12311,16910,340000,2011,22
37Ëê,104553,73291,38283,33241,31262,12005,17181,340000,2011,23
38Ëê,104465,71926,36919,32992,32539,11722,18444,340000,2011,24
39Ëê,114238,76757,38926,35645,37481,13090,21728,340000,2011,25
40Ëê,110401,72529,35900,34403,37872,12516,22465,340000,2011,26
41Ëê,111645,72373,36034,34215,39272,12856,23481,340000,2011,27
42Ëê,100349,64023,31927,30135,36326,11975,21688,340000,2011,28
43Ëê,104508,66010,33773,30344,38498,13030,22687,340000,2011,29
44Ëê,75052,46676,24622,20655,28376,10157,16218,340000,2011,30
45Ëê,78784,48369,26490,20385,30415,11648,16597,340000,2011,31
46Ëê,73165,44397,24750,18243,28768,11362,15350,340000,2011,32
47Ëê,68961,41239,23151,16622,27722,11219,14480,340000,2011,33
48Ëê,76247,44402,25137,17775,31845,12542,17041,340000,2011,34
49Ëê,61457,34917,20012,13666,26540,10570,14170,340000,2011,35
50Ëê,14758,8813,6266,2268,5945,3255,2266,340000,2011,36
51Ëê,11339,6461,4857,1341,4878,2871,1525,340000,2011,37
52Ëê,11007,6196,4832,1110,4811,2993,1406,340000,2011,38
53Ëê,15816,8832,6810,1681,6984,4544,1861,340000,2011,39
54Ëê,19357,10630,7840,2306,8727,5473,2595,340000,2011,40
55Ëê,14536,7706,6820,525,6830,5341,999,340000,2011,41
56Ëê,12689,6535,5963,270,6154,5087,659,340000,2011,42
57Ëê,13560,6924,6418,219,6636,5548,548,340000,2011,43
58Ëê,11001,5305,4902,138,5696,4673,502,340000,2011,44
59Ëê,10614,5065,4722,117,5549,4737,461,340000,2011,45
60Ëê,2781,1030,935,63,1751,1303,308,340000,2011,46
61Ëê,2518,928,769,150,1590,1191,308,340000,2011,47
62Ëê,1360,325,251,74,1035,693,258,340000,2011,48
63Ëê,887,213,172,39,674,388,194,340000,2011,49
64Ëê,703,146,105,40,557,302,209,340000,2011,50
65Ëê¼°ÒÔÉÏ,9526,4279,2712,1559,5247,3134,1837,340000,2011,51
