c1,c2,c3,c4,c5,c6,c7,c8,location,year,c0
ºÏ¼Æ,1846527,1297574,832664,452918,548953,289071,221317,340000,2011,1
16Ëê¼°ÒÔÏÂ,43,13,8,5,30,10,20,340000,2011,2
17Ëê,5,1,1,0,4,3,1,340000,2011,3
18Ëê,4,1,0,1,3,1,2,340000,2011,4
19Ëê,32,8,5,2,24,14,10,340000,2011,5
20Ëê,56,21,11,10,35,22,11,340000,2011,6
21Ëê,106,43,31,11,63,42,21,340000,2011,7
22Ëê,335,128,94,33,207,108,93,340000,2011,8
23Ëê,601,329,213,114,272,134,132,340000,2011,9
24Ëê,820,520,333,184,300,153,138,340000,2011,10
25Ëê,914,626,395,228,288,169,104,340000,2011,11
26Ëê,1231,884,598,279,347,184,133,340000,2011,12
27Ëê,1491,1115,767,343,376,200,139,340000,2011,13
28Ëê,2091,1588,1099,473,503,239,194,340000,2011,14
29Ëê,2021,1520,1017,495,501,254,180,340000,2011,15
30Ëê,2245,1619,1059,539,626,300,240,340000,2011,16
31Ëê,3555,2401,1420,957,1154,498,528,340000,2011,17
32Ëê,7082,4759,2739,1961,2323,950,1103,340000,2011,18
33Ëê,13580,9270,5174,3965,4310,1709,2165,340000,2011,19
34Ëê,23755,16208,9018,6947,7547,3146,3722,340000,2011,20
35Ëê,38269,26622,14859,11461,11647,4993,5733,340000,2011,21
36Ëê,49439,34660,19340,14948,14779,6485,7211,340000,2011,22
37Ëê,60528,42291,23812,17907,18237,7938,8842,340000,2011,23
38Ëê,76337,53169,29830,22676,23168,10101,11209,340000,2011,24
39Ëê,93442,65883,37286,27786,27559,12270,13064,340000,2011,25
40Ëê,100408,69797,39485,29461,30611,13324,14738,340000,2011,26
41Ëê,114575,80326,45338,34175,34249,15233,16528,340000,2011,27
42Ëê,116136,80776,44473,35393,35360,15620,17082,340000,2011,28
43Ëê,117523,84223,46782,36872,33300,14975,16563,340000,2011,29
44Ëê,97105,67288,37891,28763,29817,13198,14546,340000,2011,30
45Ëê,106244,73638,42806,30153,32606,14518,15717,340000,2011,31
46Ëê,114120,79558,46767,32057,34562,15514,16531,340000,2011,32
47Ëê,123290,85432,50589,34047,37858,17112,17607,340000,2011,33
48Ëê,132814,95067,56888,37582,37747,17943,17531,340000,2011,34
49Ëê,90408,68363,43594,24653,22045,12163,9431,340000,2011,35
50Ëê,31272,22574,19436,2999,8698,6521,1642,340000,2011,36
51Ëê,32420,23640,21174,2309,8780,7256,996,340000,2011,37
52Ëê,36827,26145,23959,1954,10682,9126,747,340000,2011,38
53Ëê,45578,32573,29898,2359,13005,11236,765,340000,2011,39
54Ëê,43914,31973,29507,2223,11941,10424,793,340000,2011,40
55Ëê,33550,22987,21892,883,10563,9163,646,340000,2011,41
56Ëê,31206,21299,20268,814,9907,8564,579,340000,2011,42
57Ëê,31168,21943,20931,772,9225,8034,566,340000,2011,43
58Ëê,26938,18795,18023,561,8143,7156,423,340000,2011,44
59Ëê,19549,14158,13651,467,5391,4802,386,340000,2011,45
60Ëê,4983,2793,2380,381,2190,1640,465,340000,2011,46
61Ëê,4183,2814,2279,528,1369,1010,306,340000,2011,47
62Ëê,1937,1097,857,239,840,619,190,340000,2011,48
63Ëê,1404,729,599,130,675,500,145,340000,2011,49
64Ëê,2360,921,756,164,1439,1000,249,340000,2011,50
65Ëê¼°ÒÔÉÏ,8633,4986,3332,1654,3647,2497,1150,340000,2011,51
ºÏ¼Æ,2299004,1875618,1251431,624187,423386,270182,153204,110000,2011,1
16Ëê¼°ÒÔÏÂ,,,,,,,,110000,2011,2
17Ëê,,,,,,,,110000,2011,3
18Ëê,,,,,,,,110000,2011,4
19Ëê,,,,,,,,110000,2011,5
20Ëê,,,,,,,,110000,2011,6
21Ëê,,,,,,,,110000,2011,7
22Ëê,,,,,,,,110000,2011,8
23Ëê,,,,,,,,110000,2011,9
24Ëê,,,,,,,,110000,2011,10
25Ëê,,,,,,,,110000,2011,11
26Ëê,,,,,,,,110000,2011,12
27Ëê,,,,,,,,110000,2011,13
28Ëê,589,555,306,249,34,19,15,110000,2011,14
29Ëê,1237,1158,717,441,79,46,33,110000,2011,15
30Ëê,2607,2388,1473,915,219,126,93,110000,2011,16
31Ëê,7659,6751,4026,2725,908,468,440,110000,2011,17
32Ëê,18927,16757,9938,6819,2170,1130,1040,110000,2011,18
33Ëê,36375,31942,18544,13398,4433,2139,2294,110000,2011,19
34Ëê,45812,40450,23246,17204,5362,2543,2819,110000,2011,20
35Ëê,55284,48923,28099,20824,6361,2984,3377,110000,2011,21
36Ëê,70279,62396,35767,26629,7883,3637,4246,110000,2011,22
37Ëê,87530,77557,44970,32587,9973,4586,5387,110000,2011,23
38Ëê,110543,96491,56319,40172,14052,6619,7433,110000,2011,24
39Ëê,119689,103875,61330,42545,15814,7533,8281,110000,2011,25
40Ëê,119456,102600,60740,41860,16856,8174,8682,110000,2011,26
41Ëê,121500,103057,60917,42140,18443,8746,9697,110000,2011,27
42Ëê,118171,98560,57461,41099,19611,9345,10266,110000,2011,28
43Ëê,127295,104634,60162,44472,22661,10438,12223,110000,2011,29
44Ëê,87281,71332,41709,29623,15949,7295,8654,110000,2011,30
45Ëê,87598,72003,43665,28338,15595,7613,7982,110000,2011,31
46Ëê,95523,77467,47834,29633,18056,9025,9031,110000,2011,32
47Ëê,117834,92998,57966,35032,24836,12779,12057,110000,2011,33
48Ëê,165778,127368,79849,47519,38410,20292,18118,110000,2011,34
49Ëê,131441,99366,64153,35213,32075,17258,14817,110000,2011,35
50Ëê,67595,51743,41065,10678,15852,12477,3375,110000,2011,36
51Ëê,75535,59178,51057,8121,16357,15691,666,110000,2011,37
52Ëê,69883,54219,47659,6560,15664,15109,555,110000,2011,38
53Ëê,78003,60056,53499,6557,17947,17471,476,110000,2011,39
54Ëê,80613,60173,53026,7147,20440,19975,465,110000,2011,40
55Ëê,50885,38422,36334,2088,12463,12272,191,110000,2011,41
56Ëê,40482,31425,30476,949,9057,8911,146,110000,2011,42
57Ëê,37620,28975,28134,841,8645,8510,135,110000,2011,43
58Ëê,31670,23980,23414,566,7690,7612,78,110000,2011,44
59Ëê,27954,20951,20517,434,7003,6950,53,110000,2011,45
60Ëê,6690,4820,4507,313,1870,1852,18,110000,2011,46
61Ëê,1413,1202,994,208,211,188,23,110000,2011,47
62Ëê,947,774,622,152,173,161,12,110000,2011,48
63Ëê,552,438,387,51,114,104,10,110000,2011,49
64Ëê,433,361,311,50,72,63,9,110000,2011,50
65Ëê¼°ÒÔÉÏ,321,273,238,35,48,41,7,110000,2011,51
ºÏ¼Æ,337581,266128,163002,103126,71453,37740,33713,830002,2011,1
16Ëê¼°ÒÔÏÂ,7,4,0,4,3,3,0,830002,2011,2
17Ëê,1,1,0,1,0,0,0,830002,2011,3
18Ëê,1,1,1,0,0,0,0,830002,2011,4
19Ëê,2,2,1,1,0,0,0,830002,2011,5
20Ëê,0,0,0,0,0,0,0,830002,2011,6
21Ëê,3,3,1,2,0,0,0,830002,2011,7
22Ëê,4,3,1,2,1,1,0,830002,2011,8
23Ëê,4,4,4,0,0,0,0,830002,2011,9
24Ëê,3,3,1,2,0,0,0,830002,2011,10
25Ëê,8,3,1,2,5,2,3,830002,2011,11
26Ëê,2,2,1,1,0,0,0,830002,2011,12
27Ëê,4,4,1,3,0,0,0,830002,2011,13
28Ëê,0,0,0,0,0,0,0,830002,2011,14
29Ëê,9,7,4,3,2,1,1,830002,2011,15
30Ëê,10,6,4,2,4,1,3,830002,2011,16
31Ëê,18,13,8,5,5,4,1,830002,2011,17
32Ëê,60,47,27,20,13,3,10,830002,2011,18
33Ëê,161,108,56,52,53,16,37,830002,2011,19
34Ëê,503,351,197,154,152,58,94,830002,2011,20
35Ëê,1196,867,526,341,329,122,207,830002,2011,21
36Ëê,2408,1739,991,748,669,238,431,830002,2011,22
37Ëê,4632,3426,1956,1470,1206,504,702,830002,2011,23
38Ëê,8128,6128,3469,2659,2000,878,1122,830002,2011,24
39Ëê,12506,9545,5342,4203,2961,1275,1686,830002,2011,25
40Ëê,15688,11936,6494,5442,3752,1638,2114,830002,2011,26
41Ëê,19894,15370,8155,7215,4524,1953,2571,830002,2011,27
42Ëê,23214,17999,9523,8476,5215,2257,2958,830002,2011,28
43Ëê,27638,21555,11344,10211,6083,2719,3364,830002,2011,29
44Ëê,24520,19348,10163,9185,5172,2374,2798,830002,2011,30
