c1,c2,c3,c4,c5,c6,c7,c8,location,year,c0
ºÏ¼Æ,591717,508972,274649,203815,82745,31071,39727,340000,2011,1
16Ëê¼°ÒÔÏÂ,935,873,482,340,62,27,34,340000,2011,2
17Ëê,4448,4238,2486,1633,210,111,94,340000,2011,3
18Ëê,11116,10565,6131,4179,551,276,258,340000,2011,4
19Ëê,16625,15778,9149,6249,847,447,359,340000,2011,5
20Ëê,23247,21885,12478,8916,1362,673,627,340000,2011,6
21Ëê,39226,36962,20247,15787,2264,1010,1122,340000,2011,7
22Ëê,54759,51718,28425,21884,3041,1337,1545,340000,2011,8
23Ëê,54448,51163,28849,20871,3285,1542,1541,340000,2011,9
24Ëê,47191,43979,25004,17594,3212,1454,1551,340000,2011,10
25Ëê,34477,31715,17905,12737,2762,1168,1403,340000,2011,11
26Ëê,24637,22498,12850,8685,2139,923,1039,340000,2011,12
27Ëê,20484,18417,10491,7108,2067,915,997,340000,2011,13
28Ëê,17342,15386,8555,5977,1956,815,964,340000,2011,14
29Ëê,16611,14511,7706,5798,2100,819,1077,340000,2011,15
30Ëê,14011,11996,6256,4879,2015,734,1067,340000,2011,16
31Ëê,12492,10641,5547,4319,1851,687,965,340000,2011,17
32Ëê,13207,10939,5549,4461,2268,713,1233,340000,2011,18
33Ëê,12817,10391,5073,4382,2426,778,1340,340000,2011,19
34Ëê,11378,9052,4371,3874,2326,685,1311,340000,2011,20
35Ëê,12184,9642,4694,4151,2542,738,1456,340000,2011,21
36Ëê,11180,8655,4147,3686,2525,732,1379,340000,2011,22
37Ëê,11245,8565,3885,3833,2680,819,1439,340000,2011,23
38Ëê,12198,9104,4031,4060,3094,870,1732,340000,2011,24
39Ëê,14216,10206,4442,4700,4010,1026,2370,340000,2011,25
40Ëê,13775,9622,4056,4380,4153,1063,2314,340000,2011,26
41Ëê,11891,8639,4061,3482,3252,1029,1491,340000,2011,27
42Ëê,10665,7714,3732,2982,2951,981,1295,340000,2011,28
43Ëê,10902,7829,4000,2848,3073,1045,1327,340000,2011,29
44Ëê,8389,5952,3112,2095,2437,939,974,340000,2011,30
45Ëê,8531,5878,3147,1921,2653,1114,1001,340000,2011,31
46Ëê,6939,4779,2432,1582,2160,762,917,340000,2011,32
47Ëê,6204,4219,2131,1304,1985,705,813,340000,2011,33
48Ëê,6578,4382,2375,1222,2196,758,984,340000,2011,34
49Ëê,5248,3431,1867,915,1817,625,798,340000,2011,35
50Ëê,1288,889,578,161,399,176,146,340000,2011,36
51Ëê,925,679,443,94,246,119,51,340000,2011,37
52Ëê,843,573,370,79,270,152,53,340000,2011,38
53Ëê,1300,915,572,144,385,228,62,340000,2011,39
54Ëê,1712,1116,611,254,596,316,136,340000,2011,40
55Ëê,1301,817,601,29,484,332,74,340000,2011,41
56Ëê,946,617,438,19,329,242,30,340000,2011,42
57Ëê,1104,673,482,28,431,321,35,340000,2011,43
58Ëê,905,543,378,16,362,259,32,340000,2011,44
59Ëê,897,523,367,18,374,294,26,340000,2011,45
60Ëê,215,87,58,13,128,96,21,340000,2011,46
61Ëê,75,30,18,10,45,28,16,340000,2011,47
62Ëê,64,23,11,12,41,17,22,340000,2011,48
63Ëê,58,18,11,6,40,24,16,340000,2011,49
64Ëê,63,21,10,11,42,21,19,340000,2011,50
65Ëê¼°ÒÔÉÏ,425,124,35,87,301,126,171,340000,2011,51
