year,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,location
1990,114333,31659,,,76306,6368,58904,55429,30195,84138,21,7,14,100000
1991,115823,,,,,,59466,56357,31203,84620,20,7,13,100000
1992,117171,,,,,,59811,57360,32175,84996,18,7,12,100000
1993,118517,,,,,,60472,58045,33173,85344,18,7,12,100000
1994,119850,,,,,,61246,58604,34169,85681,18,7,11,100000
1995,121121,32218,,,81393,7510,61808,59313,35174,85947,17,7,11,100000
1996,122389,32311,,,82245,7833,62200,60189,37304,85085,17,7,10,100000
1997,123626,32093,,,83448,8085,63131,60495,39449,84177,17,7,10,100000
1998,124761,32064,,,84338,8359,63940,60821,41608,83153,16,7,9,100000
1999,125786,31950,,,85157,8679,64692,61094,43748,82038,15,7,8,100000
2000,126743,29012,,,88910,8821,65437,61306,45906,80837,14,7,8,100000
2001,127627,28716,,,89849,9062,65672,61955,48064,79563,13,6,7,100000
2002,128453,28774,,,90302,9377,66115,62338,50212,78241,13,6,7,100000
2003,129227,28559,,,90976,9692,66556,62671,52376,76851,12,6,6,100000
2004,129988,27947,,,92184,9857,66976,63012,54283,75705,12,6,6,100000
2005,130756,26504,,,94197,10055,67375,63381,56212,74544,12,7,6,100000
2006,131448,25961,,,95068,10419,67728,63720,57706,73742,12,7,5,100000
2007,132129,25660,,,95833,10636,68048,64081,59379,72750,12,7,5,100000
2008,132802,25166,,,96680,10956,68357,64445,60667,72135,12,7,5,100000
2009,133474,24663,,,97502,11309,68652,64822,62186,71288,12,7,5,100000
